Name;Category;Description;Price before tax;Tax Rule ID;Quantity;Image
Ultra Pro Pudełko na karty Deck Box Solid Purple;Akcesoria/Akcesoria do pakowania;"Pudełko na karty Ultra Pro Deck Box Solid Purple
Pudełko na karty służy do bezpiecznego transportu i przechowywania talii około 80 kart w koszulkach lub 100 bez koszulek.
Łatwe w zamykaniu.";6.09;1;10;https://magiccafe.eu/wp-content/uploads/2024/07/da7125e48deece8b5fce5bd264c70256-1.jpg
Pudełko Ultra Pro Satin Tower Green Zielone;Akcesoria/Akcesoria do pakowania;"Pudełko na karty Ultra-Pro Satin Tower Deck Box.
Mieści 100 kart w koszulkach. W dole pudełka znajduje się miejsce na akcesoria.";36.58;1;8;https://magiccafe.eu/wp-content/uploads/2024/07/c569da4afaa399c46e3256482a264588-1.jpg
Toploader Ultra Pro Regular Red 25szt;Akcesoria/Akcesoria do pakowania;"Toploader Ultra Pro Regular Red 25szt
Idealny produkt do ochorny kart do karcianek typu Magic the Gathering, Pokemon itd.";12.11;1;6;https://magiccafe.eu/wp-content/uploads/2024/01/638fc6492ba86c77013edb30f8bb43ea.png
Pudełko na 25 kart – Ultra Pro Storage Box 2szt;Akcesoria/Akcesoria do pakowania;Pudełko na 25 kart – Ultra Pro Storage Box  2szt;3.73;1;0;https://magiccafe.eu/wp-content/uploads/2023/09/d8af8655f4eb45f3205a0de6ffc2e86f.png
Ultra Pro Hinged Clear Box Pudełko na 50 kart;Akcesoria/Akcesoria do pakowania;"Ultra Pro Hinged Clear Box Pudełko na 50 kart
Mieści 50 kart o standardowym rozmiarze
Zamknięcie na zatrzask
Bezpieczne dla kart, nie zawiera PCV / kwasu
Ultra przezroczyste na karty kolekcjonerskie";3.73;1;9;https://magiccafe.eu/wp-content/uploads/2023/09/b73babb9f8606a7e489ba8ce24643056.png
Ultra Pro Regular Toploader 3×4 + Sleeves 200szt;Akcesoria/Akcesoria do pakowania;"Toploadery Regular 3×4 200 szt. + sleevy Ultra Pro
W opakowaniu znajduje się 200 sztuk twardych koszulek na karty oraz 200 miękkich koszulek soft sleeves. Kupując pojedyncze paczki toploaderów po 20-25 zł i soft sleevów za taki zestaw trzeba zapłacić około 200 zł, więc to duża oszczędność.
Idealny produkt do ochorny kart do karcianek typu Magic the Gathering, Pokemon itd.
Nowe, fabrycznie zafoliowane.
Opis ze strony producenta:
Protect your valuable trading cards with authentic Ultra PRO toploaders and clear sleeves, made for standard size 2.5″ x 3.5″ trading cards up to 35 points in thickness. The toploaders’ interior can hold cards up to 2-1/2″ x 3-1/2″ (63.5mm x 88.9mm) in size, while the sleeves are made for a loose fit around standard 2.5″ x 3.5″ cards. Insert your card into the clear, archival-safe polypropylene sleeve, then insert the combination into a toploader for rigid protection to minimize dents and physical damage to the card. The set comes with 200 toploaders and 200 clear sleeves.
For standard size trading cards measuring 2-1/2″ x 3-1/2″
Rigid toploaders protect cards during handling
Soft card sleeves made with non-PVC polypropylene film
Ultra clear for superior card presentation";80.48;1;3;https://magiccafe.eu/wp-content/uploads/2024/07/5b2dc6ced5e6ab2a8067b5c101bd1481.jpg
Ultra Pro UV One Touch Magnetic Holder 35PT;Akcesoria/Akcesoria do pakowania;"Ultra Pro UV One Touch Magnetic Holder 35PT
Doskonały do przechowywania wartościowych kart.
Produkt nowy, fabrycznie zapakowany.
Opis ze strony producenta:
Designed as the final destination for your collectible cards, our two-piece One Touch holders are uniquely designed with slide-in hinge and magnetic closure so you’ll never have to use a screwdriver again. The holder provides UV-resistant, no-PVC and acid free protection to ensure your valuable hit retains its condition while under display. Our One Touch holders are ideal for presenting prized and super rare gaming cards as well. This model can hold standard cards (2-1/2″ X 3-1/2″) up to 35pt in thickness.";8.05;1;3;https://magiccafe.eu/wp-content/uploads/2024/07/391ff1ae85afd2d764e1321d76279c3c.webp
Ultra Pro Hinged Clear Box Pudełko na 15 kart;Akcesoria/Akcesoria do pakowania;"Ultra Pro Hinged Clear Box Pudełko na 15 kart
Mieści 15 kart o standardowym rozmiarze i grubości do 35PT
Zamknięcie na zatrzask
Bezpieczne dla kart, nie zawiera PCV / kwasu
Ultra przezroczyste na karty kolekcjonerskie
Przeznaczony do umieszczania kart bez koszul
wymiar wew.  91x66x15
Wymiar zew.: 95x77x19mm";3.0;1;1;https://magiccafe.eu/wp-content/uploads/2023/09/4171469e407350b23507af5a41abc957.png
Toploader Ultra Pro Regular 3×5 25 szt;Akcesoria/Akcesoria do pakowania;"Toploader Ultra Pro Regular 3×5 25 szt
Idealny produkt do ochorny kart do karcianek typu Magic the Gathering, Pokemon itd.";16.09;1;5;https://magiccafe.eu/wp-content/uploads/2024/01/34ecf859b28ccd2f75dca98441c9947c.png
Toploader Ultra Pro 130PT Super Thick;Akcesoria/Akcesoria do pakowania;Idealny produkt do ochrony kart do karcianek typu Magic the Gathering, Pokemon itp.;14.95;1;3;https://magiccafe.eu/wp-content/uploads/2023/09/66f068a06f299138b4869e29b0c74e3d.png
Toploader Ultra Pro Regular Black 25szt;Akcesoria/Akcesoria do pakowania;"Toploader Ultra Pro Regular Black 25szt
Idealny produkt do ochorny kart do karcianek typu Magic the Gathering, Pokemon itd.";12.11;1;1;https://magiccafe.eu/wp-content/uploads/2024/01/eac592057f7604da96dda224152269cf.png
Toploader Ultra Pro 260PT  Super Thick 10szt;Akcesoria/Akcesoria do pakowania;"Toploader Ultra Pro 260PT  Super Thick 
Idealny produkt do ochrony kart do karcianek typu Magic the Gathering, Pokemon itp.";18.69;1;5;https://magiccafe.eu/wp-content/uploads/2023/09/85e52ed17ccde3dd5bfbbba45c5cc073.png
